title;description;url;image;State
Chess Game;A Chess Game made from scratch using the Library;https://github.com/HappyAVK/Chess-Game;chess test.png;Yes
Art Prompt App;A distraction-free web app to create a dynamic list of prompts for an Art Project.;https://github.com/HappyAVK/ArtPrompts;1.png;Yes
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/HappyAVK/Project-2-Portfolio;2.png;Yes
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/HappyAVK/Project-3-PDF;3.png;Yes
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://pythonhow.com;4.png;No
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://pythonhow.com;5.png;No
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/HappyAVK/Project-6-Weather-API;6.png;Yes
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://pythonhow.com;7.png;No
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/HappyAVK/Project-10-Web-Scraping;8.png;Yes
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://pythonhow.com;9.png;No
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://pythonhow.com;10.png;No
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/HappyAVK/Project-9-Webcam-Detection;11.png;Yes
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://pythonhow.com;12.png;No
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://pythonhow.com;13.png;No
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;14.png;No
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;15.png;No
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/HappyAVK/Project-7-Weather-Forecast-Site;16.png;Yes
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://pythonhow.com;17.png;No
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://pythonhow.com;18.png;No
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://pythonhow.com;19.png;No
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://pythonhow.com;20.png;No
